date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:28	229048/229048	---M--	200	added ('OK')	image/jpeg	etag:%2237eb8-5a5aef44c9cec%22	https://www.globalnexus.biz/wp-content/uploads/2019/07/Rezied-image.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/wp-content/uploads/2019/07/Rezied-image.jpg	(from https://www.globalnexus.biz/)
20:47:29	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:51%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2019/07/DSC_5987.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2019/07/DSC_5987.jpg	(from https://www.globalnexus.biz/)
20:47:31	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Aug%202020%2015:16:52%20GMT	http://www.globalnexus.biz/what-we-do/	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/what-we-do/index.html	(from https://www.globalnexus.biz/)
20:47:31	345403/345403	---M--	200	added ('OK')	image/jpeg	etag:%225453b-56b43036cdc00%22	https://www.globalnexus.biz/wp-content/uploads/2018/04/6.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/wp-content/uploads/2018/04/6.jpg	(from https://www.globalnexus.biz/)
20:47:31	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:51%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2019/08/b7e3914e890416a4a4a68d69b2aa6ae5.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2019/08/b7e3914e890416a4a4a68d69b2aa6ae5.jpg	(from https://www.globalnexus.biz/)
20:47:32	213305/213305	---M--	200	added ('OK')	image/jpeg	etag:%2234139-5a5af22e46931%22	https://www.globalnexus.biz/wp-content/uploads/2019/07/DSC_5987.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/wp-content/uploads/2019/07/DSC_5987.jpg	(from https://www.globalnexus.biz/)
20:47:34	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:56%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2019/08/b7e3914e890416a4a4a68d69b2aa6ae5.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2019/08/b7e3914e890416a4a4a68d69b2aa6ae5.jpg	(from https://www.globalnexus.biz/)
20:47:34	16829/16829	---M--	200	added ('OK')	image/jpeg	etag:%2241bd-5a58634a13fe0%22	https://www.globalnexus.biz/wp-content/uploads/2019/08/b7e3914e890416a4a4a68d69b2aa6ae5.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/www.globalnexus.biz/wp-content/uploads/2019/08/b7e3914e890416a4a4a68d69b2aa6ae5.jpg	(from https://www.globalnexus.biz/)
20:47:35	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:56%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/https://www.globalnexus.biz/wp-content/uploads/2019/08/WhatsApp-Image.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_glossy,ret_img/https_/www.globalnexus.biz/wp-content/uploads/2019/08/WhatsApp-Image.jpg	(from https://www.globalnexus.biz/)
20:47:36	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2006%20Aug%202020%2015:16:58%20GMT	https://cdn.shortpixel.ai/client/q_lqip,ret_wait/https://www.globalnexus.biz/wp-content/uploads/2019/08/WhatsApp-Image.jpg	C:/Users/Deep%20Zatakiya/Desktop/Deep/cdn.shortpixel.ai/client/q_lqip,ret_wait/https_/www.globalnexus.biz/wp-content/uploads/2019/08/WhatsApp-Image.jpg	(from https://www.globalnexus.biz/)
